 ,am,ar,bg,ca,cs,da,de,el,es,es_ES,fa,fi,fr,gl_ES,he_IL,hi,hr,id,is,it,ja,lt,nb,nl,pl,pt,pt_BR,ru,sk,sl,sq,sv,tr,uk,zh
Window options,,,Опции за прозорци,,Možnosti oken,Vinduesindstillinger,Fenster-Optionen,Επιλογές παραθύρου,Opciones de ventana,Opciones de ventana,,Ikkunavaihtoehdot,Options de fenêtre,,,,,Opsi jendela,,Opzioni della finestra,ウィンドウのオプション,Logu opcijas,Alternativer for vinduer,Vensteropties,Opcje okna,Opções de janela,,Параметры окна,Možnosti okna,,,Alternativ för fönster,Pencere seçenekleri,Параметри вікна,窗口选项
Border,,,Граници,,Ohraničení,Ramme,Rand,Περίγραμμα,Borde,Borde,,Reunus,Bordures,,,,Keret,Batas,,Bordo,ウィンドウボーダー,,Vinduskant,Rand,Ramka,Rebordo,,Pамка,Okraj,,,Kant,Kenarlığı,,窗户边框
Titlebar,,,Заглавна лента,,Titulní pruh,Titelbjælke,Titelleiste,Γραμμή τίτλου,Barra de título,Barra de título,,Otsikkopalkki,Barre de titre,,,,,Titlebar,,Barra del titolo,タイトルバー,Barra del titolo,Tittelfelt,Titelbalk,Pasek tytułu,Barra de título,,Панель заголовка,Titulný pruh,,,Titelrad,Başlık çubuğu,,钛金条
Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd
Help,እርዳታ,مساعدة,Помощ,Ajuda ,Nápověda,Hjælp,Hilfe,Βοήθεια,Ayuda,Ayuda,راهنما ,Ohje,Aide,Axuda,עזרה,सहायता,Pomoć,Bantuan,Hjálp,Aiuto,ヘルプ,Žinynas,Hjelp,Hulp,Pomoc,Ajuda,Ajuda,Справка,Pomoc,Pomoč,Ndihmë,Hjälp,Yardım,Довідка,帮助
Music,ሙዚቃ,,,Música,Hudba,Musik,Musik,Μουσική,Música,Música,,Musiikki,Musique,Música,,संगीत,Glazba,Musik,,Musica,ミュージック,Muzika,Musikk,Muziek,Muzyka,Música,Músicas,Музыка,Hudba,Glasba,Muzikë,Musik,Müzik,,音乐
Run,ማስኬጃ,نفذ,Изпълни,Executa,Spustit,Kør,Ausführen ,Εκτέλεση ,Ejecutar,Ejecutar,راه اندازی ,Suorita,Démarrer,Executar,,निष्पादन,,Jalankan,Keyra,Esegui...,実行,Vykdyti,Kjør,Uitvoeren,Uruchom,Executar,Executar,Выполнить,Spustiť,Zaženi,Xhiroje,Kör,Çalıştır,Виконати,运行
Settings manager,,,,,,,Einstellungsmanager,Διαχειριστής ρυθμίσεων,Gestor de configuración,Administrador de configuración,,,Gestionnaire des paramètres,,,,,Settings manager,,Gestore delle impostazioni,設定マネージャ,,Behandle innstillinger,Instellingenbeheer,Menedżer ustawień,Definições,Gerenciador de Configurações,,,Upravljalnik nastavitev,Përgjegjës rregullimesh,Inställningshanterare,,,
Terminal,ተርሚናል,طرفية,Терминал,Terminal ,Terminál,Terminal,Terminal ,Τερματικό ,Terminal,Terminal,پایانه ,Pääte,Terminal ,Terminal,,टर्मिनल,Terminál,Terminal,Skjáhermir,Terminale,ターミナル,Terminalas,Terminal,Terminalvenster,Terminal,Terminal,Terminal,Терминал,Terminál,Terminal,Terminal,Terminal,Uçbirim,Термінал,终端
Appearance,አቀራረብ,,,Aspecte ,Vzhled,Udseende,Erscheinungsbild,Εμφάνιση,Aparencia,Apariencia,,Ulkoasu,Apparence,Apariencia,מראה,स्वरूप,Izgled,Tampilan,Útlit,Aspetto,外観,Išvaizda,Utseende,Uiterlijk,Wygląd,Aparência,Aparência,Внешний вид,Vzhľad,Izgled,Dukje,Utseende,Görünüş,,外观
Conky,,,,Conky,,,Conky,Conky,Conky,Conky,,Conky,Conky,Conky,,कोंकी,Conky,Conky,,Conky,Conky,,Conky,Conky,Conky,Conky,Conky,Conky,,Conky,Conky,Conky,Conky,,Conky
Docks,,,,Docks,,Dokke,Docks,Docks,Docks,Docks,,Telakat,Docks,Docas,,डॉक,,Docks,,Barre Dock,ドック,,Samlevinduer,Docks,Doki pulpitu,Docas,Docas,Док панели,Dokovacie panely,Sidrišča,Panele,Dockor,Paneller,,程序坞
Default,ነባር,إفتراضي,По подразбиране,Per defecte,Standardní,Standard,Standard,Εξ ορισμού,Predeterminado,Predeterminado,,Oletus,Thème par défaut,Predeterminado,ברירת מחדל,डिफ़ॉल्ट,Zadano,Setelan Bawaan,Sjálfgefið,Predefinito,既定,Numatyta,Forvalgt,Standaard,Ustawienia domyślne,Predefinição,Padrão,По умолчанию,Predvolené,Privzeto,Parazgjedhje,Default,Varsayılan,Усталено,缺省
Dockmaker,,,,,,,Dock-Ersteller,Δημιουργός εργαλείων Dock,Dockmaker,Dockmaker,,,Dockmaker,,,,,Dockmaker,,Crea dock,ドックメーカー,,Dockmaker,Dockmaker,Twórz i edytuj dok,Dockmaker,Criador de Docas,,,Izdelovalec sidrišč,, Dockmaker,,,
Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font
Desktop icons,,,,Icones de l'esriptori,,,Desktop-Symbole,Εικονίδια επιφάνειας εργασίας,Iconos de escritorio,Iconos de escritorio,,Työpöydän kuvakkeet,Icônes du bureau,Iconas do dispositivo,,डेस्कटॉप आइकन,Ikone radne površine,Ikon Desktop,,Icone della scrivania,デスクトップのアイコン,,Skrivebordsikoner,Desktop iconen,Ikony pulpitu,Ícones,Ícones da Área de Trabalho,Значки рабочего стола,,Ikone namizja,Ikona desktopi,Skrivbords-ikoner,Masaüstü simgeleri,,桌面图标
Monitors,,,,,,,Monitore,Οθόνες,Monitores,Monitores,,,Moniteurs,,,,,Layar,,Schermi,モニタ,,Skjermer,Beeldschermen,Monitory,Monitores,Monitores,,,Zasloni,Monitorë,Skärmar,,,
Theme,ገፅታ,,,Tema ,Motiv,Tema,Thema,Θέμα,Tema,Tema,,Ulkoasu,Thème,Tema,ערכת נושא,थीम,Tema,Tema,Þema,Tema,テーマ,Tema,Tema,Thema,Motyw,Tema,Tema,Тема,Motív,Tema,Temë,Tema,Tema,Тема,主题
Toolbars,,,,Barras d'eines,,,Toolbars,Γραμμή εργαλείων,Barras de herramientas,Barras de herramientas,,Työkalupalkki,Barres d'outils,Barras de ferramentas,,साधन पट्टी,,Bilah Alat,,Barras degli strumenti,ツールバー,,Verktøylinje,Gereedschapsbalk,Pasek narzędzi,Barras,Barras de Ferramentas,,,Orodna vrstica,Panel,Verktygsfält,Araç çubuğu,,工具栏
Fluxbox,,,,Fluxbox,,,Fluxbox,Fluxbox,Fluxbox,Fluxbox,,,Fluxbox,,,,,,,Fluxbox, トラディショナル,,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,,,Fluxbox,Fluxbox,Fluxbox,,,
tint2,,,,tint2,,,tint2,tint2,tint2,tint2,,,tint2,,,,,,,tint2,,,tint2,tint2,tint2,tint2,tint2,,,tint2,tint2,tint2,,,
Wallpaper,የ ግድግዳ ወረቀት,,,Empaperat ,Pozadí plochy,Tapet,Hintergrund ,Ταπετσαρία ,Fondo de pantalla,Fondo de pantalla,عکس پس زمینه,Taustakuva,Fond d'écran ,Imaxe de fondo,,वॉलपेपर,Tapeta,Pantalla,Bakgrunnsmynd,Wallpaper,壁紙,Darbalaukio fonas,Bakgrunn,Desktopachtergrond ,Tapeta,Fundo,Papel de Parede,Обои,Pozadie,Ozadje,Sfond,Wallpaper,Duvarkağıdı,,壁纸
Rotate,,,,,,,Drehen,Περιστροφή,Rotar,Rotar,,,Rotation,,,,,,,Ruota,回転,,Roter,Draaien,Obróć,Rodar,Girar,,,Zavrti,Rrotulloje, Rotera,,,
Separate,,,,,,,Trennen,Διαχώρισε,Separar,Separar,,,Séparer,,,,,,, Separa,分割,,Separat,Scheiden,Rozdziel,Separar,Separar,,,Loči,Ndaji, Separat,,,
Select,,,,Selecciona,Vyberte,,Auswählen,Επιλέξτε,Seleccionar,Seleccionar,,Valitse,Sélectionner,Seleccionar,,चयन,,,,Seleziona,選択,Pasirinkti,Velg,Selecteer,Wybierz,Seleccionar,Selecionar,Выбор,,Izberi,Përzgjidhni,Välj,Seç,,
Settings,ማሰናጃ,إعدادات,Настройки,Paràmetres,Nastavení,Indstillinger,Einstellungen,Ρυθμίσεις,Configuración,Configuración,,Asetukset,Paramètres,Configuracións,הגדרות,सेटिंग्स,Postavke,Setelan,,Impostazioni,設定,Nuostatos,Innstillinger,Instellingen,Ustawienia,Definições,Configurações,Настройки,Nastavenia,Nastavitve,Rregullime,Inställningar,Ayarlar,Параметри,设置
Backup,ተተኪ,,Резервно копие,Còpia de seguretat ,Záloha,Backup,Backup ,Backup,Respaldo,Copia de seguridad,پشتیبان,Varmuuskopio,Backup ,,,,,,Öryggisafrit,Backup,バックアップ,Atsarginė kopija,Backup,Backup,Kopia zapasowa,Cópia Seg,LuckyBackup,Резервное копирование,Záloha,Varnostna kopija,Kopjeruaje,Backup,Yedekle,Резервування,
Configure,,,Конфигуриране на,Configura,Konfigurace,Konfigurer,Konfigurieren,Ρύθμιση ,Configurar,Configurar,,Muokkaa,Configurer,Configurar,,विन्यास,Konfiguriraj,,,Configura,設定,Konfigūruoti,Oppsett,Configureer,Skonfiguruj,Configurar,Configurar,Конфигурировать,,Nastavi,Formësojeni,Konfigurera,Yapılandır,,配置
Apps,,,Приложения,,Aplikace,Apps,Apps,Εφαρμογές,Aplicaciones,Aplicaciones,,Sovellukset,Applications,,,,,,,Applicazioni,アプリ,,Programmer,Applicaties,Okna aplikacji,Aplicações [apps],Aplicativos,Приложения,,Aplikacije,Aplikacione,Appar,,,应用
Init,,,Иницииране на,,Init,Init,Init,Αρχικοποίηση,Init,Init,,Init,Init,,,,,,,Init,,,Initialisering,Init,Init,Sessão [init],Iniciar,Init,,Inicializacija,,Init,,,啟動
Keys,,,Ключове,,Klíče,Nøgler,Tasten,Κλειδιά,Teclas,Atajos de teclado,,Avaimet,Touches,,,,,,,Tasti,キー,,Taster,Toetsen,Klawisze skrótów,Atalhos [keys],Atalhos,Ключи,,Tipke,Taste,Nycklar,,,钥匙
Menus,,,Менюта,,Menu,Menuer,Menüs,Μενού,Menús,Menús,,Valikot,Menus,,,,,,,Menu,メニュー,,Menyer,Menus,Menu,Menus,Menus,Меню,,Meniji,Menu,Menyer,,,菜单
Main,ዋናው,,,Principal ,Hlavní,Main,Haupt,Κύριa,Main,Principal,,Päälähteet,Principal,Principal,,मुख्य,Glavni,,Aðal,Principale,メイン,,Hoved,Hoofd,Główne,Principais,Principais,Основные,,Glavni,Kryesorja,Main,Ana,,
Appearance,አቀራረብ,,,Aspecte ,Vzhled,Udseende,Erscheinungsbild,Εμφάνιση,Aparencia,Apariencia,,Ulkoasu,Apparence,Apariencia,מראה,स्वरूप,Izgled,,Útlit,Aspetto,外観,Išvaizda,Utseende,Uiterlijk,Wygląd,Aparência,Aparência,Внешний вид,Vzhľad,Izgled,Dukje,Utseende,Görünüş,,外观
Settings,ማሰናጃ,إعدادات,Настройки,Paràmetres,Nastavení,Indstillinger,Einstellungen,Ρυθμίσεις,Configuración,Configuración,,Asetukset,Paramètres,Configuracións,הגדרות,सेटिंग्स,Postavke,,,Impostazioni,設定,Nuostatos,Innstillinger,Instellingen,Ustawienia,Definições,Configurações,Настройки,Nastavenia,Nastavitve,Rregullime,Inställningar,Ayarlar,Параметри,设置
Out of sight,,,,,,,Verstecken,Εκτός οπτικού πεδίου,No visible,Cambiar la vista,,,Masquer,,,,,,,Fuori dal campo visivo,視界の外,,Ute av syne,Uit het zicht,Poza polem widzenia,Ocultar,Ocultar,,,Izven vidnega,, Dold,Gizle,,
Overlay,,,,,,,Überlagerung,Επικάλυμμα,Cubrir,Superposición,,,Overlay,,,,,,,Sovrapposizione,重ねて表示,,Legg over,Overlapping,Nakładka,Cobertura [overlay],Sobreposição,,,Prekrivanje,, Overlay,,,
Startup,,,,Engegada,,,Systemstart,Εκκίνηση,Inicio,Iniciar,,Käynnistä,Démarrage,,,आरंभिकरण,,,,Avvio,起動,,Oppstart,Opstarten,Autostart,Arranque [startup],Inicializar,,,Zagon,Nisje,Startup,Başlangıç,,
Styles,ዘዴዎች,,,Estils,Styly,Stile,Styles,Styles,Estilos,Estilos,استایل,Tyylit,Apparences,Estilos,,शैली,,,Stílar,Stili,スタイル,Stiliai,Stiler,Stijlen,Style,Estilos [styles],Estilos,Стили,Štýly,Stili,Stile,Stilar,Biçimler,,
Window,መስኮት,نافذة,Прозорец,Finestra,Okno,Vindue,Fenster,Παράθυρο,Ventana,Ventana,,Ikkuna,Fenêtre,Lapela,חלון,विंडो,Prozor,,Gluggi,Finestra,画面,Langas,Vindu,Scherm,Okno,Janela,Janela,Окно,Aktívne okno,Okno,Dritare,Fönster,Pencere,,窗口
Display,,,,Pantalla,,,Bildschirm,Οθόνη,Pantalla,Pantalla,,Näyttö,Affichage,Display,תצוגה,डिस्प्ले,,,,Schermo,ディスプレイ,,Skjerm,Beeldscherm,Ekran,Ecrã,Tela,Экран,,Zaslon,Ekran,Skärm,Görüntü,,显示
Change,,,,,,,Ändern,Αλλαγή,Cambiar,Cambiar,,,Changer,,,,,,,Cambia,変更,,Endre,Veranderen,Zmień,Alterar,Alterar,,,Spremeni,Ndryshojeni,Ändring,,,
Help,እርዳታ,مساعدة,Помощ,Ajuda ,Nápověda,Hjælp,Hilfe,Βοήθεια,Ayuda,Ayuda,راهنما ,Ohje,Aide,Axuda,עזרה,सहायता,Pomoć,,Hjálp,Aiuto,ヘルプ,Žinynas,Hjelp,Hulp,Pomoc,Ajuda,Ajuda,Справка,Pomoc,Pomoč,Ndihmë,Hjälp,Yardım,Довідка,帮助
Keyboard,,,,Teclat,Klávesnice,,Tastatur,Πληκτρολόγιο,Teclado,Teclado,,,Clavier,,,,,,,Tastiera,キーボード,,Tastatur,Toetsenbord,Klawiatura,Teclado,Teclado,,,Tipkovnica,Tastierë,Tangentbord,,,
Select,,,,Selecciona,Vyberte,,Auswählen,Επιλέξτε,Seleccionar,Seleccionar,,Valitse,Sélectionner,Seleccionar,,चयन,,,,Seleziona,選択,Pasirinkti,Velg,Selecteer,Wybierz,Seleccionar,Selecionar,Выбор,,Izberi,Përzgjidhni,Välj,Seç,,
Kill dock,,,Док за убиване,,Kill dock,,Dock abschießen,Καταστροφή Dock,Matar un dock,Matar la barra de iconos,,Kill dock,Arrêter le dock,,,,,,,Termina dock,ドックの停止,Nužudymo dokas,Tvangsavslutt samlevindu,Beëindig dock,Usuń dok,Aniquilar doca,Aniquilar a Doca,Убить док,,Ukini sidrišče,Asgjësoje panelin, Stäng docka,,,杀死船坞
Kill a window,,,Избиване на прозорец,,Zabít okno,,Fenster abschießen,Καταστροφή ενός παραθύρου,Matar una ventana,Matar una ventana,,Tapa ikkuna,Arrêter une fenêtre,,,,,,,Termina una finestra,ウィンドウの終了,Nužudyti langą,Tvangsavslutt vindu,Beëindig venster,Zakończ proces dla wybranego okna,Aniquilar janela,Aniquilar a Janela,Убить окно,,Ukini okno,Asgjësoni një dritare, Stänga ett fönster,,,杀死一个窗口
Toggle conky,,,Превключване на conky,,Přepnout conky,,Conky an/aus,Εναλλαγή conky,Alternar conky,Ver/ocultar conky,,Toggle conky,Basculer conky,,,,,,,Interruttore conky,コンキーの切り換え,Perjungti conky,Veksle conky,Wissel conky,Pokaż/ukryj conky,Conky (lig/deslig),Ligar/Desligar o Conky,Переключить conky,,Preklopi Conky,, Växla conky,,,切换康基
Toggle iDesk,,,Превключване на iDesk,,Přepnout iDesk,,iDesk an/aus,Εναλλαγή iDesk,Alternar iDesk,Ver/ocultar iDesk,,Vaihda iDesk,Basculer l'iDesk,,,,,,,Interruttore iDesk,iDesk の切り換え,Perjungti iDesk,Veksle iDesk,Wissel iDesk,Pokaż/ukryj iDesk,iDesk (lig/deslig),Ligar/Desligar o iDesk,Переключить iDesk,,Preklopi iDesk,, Växla iDesk,,,切换iDesk
Toggle icons,,,Превключване на икони,,Přepnout ikony,,Symbole an/aus,Εναλλαγή εικονιδίων,Alternar iconos,Ver/ocultar iconos,,Vaihda kuvakkeita,Basculer les icônes,,,,,,,Interruttore icone,アイコンの切り換え,Perjungti piktogramas,Veksle ikoner,Wissel iconen,Pokaż/ukryj ikony,Ícones (lig/deslig),Ligar/Desligar os Ícones,Переключить значки,,Preklopi ikone,, Växla ikoner,,,切换图标
Toggle autohide dock,,,Превключване на автоматично скриване на док,,Přepnout automatické skrytí doku,,Automatisches Ausblenden des Docks an/aus,Εναλλαγή αυτόματης απόκρυψης dock,Alternar auto ocultar dock,Activar la ocultación automática de la barra de iconos,,Toggle autohide dock,Basculer masquage auto. dock,,,,,,,Interruttore nascondi automaticamente il dock,ドックを自動的に隠す機能の切り換え,Perjungti automatiškai paslėpti doką,Veksle autoskjuling av samlevindu,Wissel automatisch dock verbergen,Przełącz automatyczne ukrywanie doku,Auto-ocultar doca (lig/deslig),Ligar/Desligar o Auto-Ocultar da Doca,Переключить автоскрытие дока,,Preklopi samodejno skirvanje sidrišča,, Växla auto-dold docka,,,切换自动隐藏Dock
Toggle autohide toolbar,,,Превключване на автоматичното скриване на лентата с инструменти,,Přepnout automatické skrytí panelu nástrojů,,Automatisches Ausblenden der Werkzeugleiste an/aus,Εναλλαγή αυτόματης απόκρυψης toolbar,Alternar auto ocultar barra de herramientas,Activar la ocultación automática de la barra de herramientas,,Toggle autohide toolbar,Basculer masquage auto. barre d'outils,,,,,,,Interruttore nascondi automaticamente la barra degli strumenti,ツールバーを自動的に隠す機能の切り換え,Perjungti automatinį įrankių juostos paslėpimą,Veksle autoskjuling av verktøylinje,Wissel automatisch gereedschapsbalk verbergen,Przełącz automatyczne ukrywanie paska narzędz,Auto-ocultar barra (lig/deslig),Ligar/Desligar o Auto-Ocultar da Barra de Ferramentas,Переключить автоскрытие панели инструментов,,Preklopi samodejno skrivanje orodne vrstice,,Växla auto-dolt verktygsfält,,,切换自动隐藏工具条
Toggle autohide panel,,,Превключване на автоматично скриване на панела,,Přepnout automatické skrytí panelu,,Automatisches Ausblenden des Panel an/aus,Εναλλαγή αυτόματης απόκρυψης panel,Alternar auto ocultar panel,Activar la ocultación automática del panel,,Toggle autohide panel,Basculer masquage auto. du panneau,,,,,,,Interruttore nascondi automaticamente pannello,パネルを自動的に隠す機能の切り換え,Perjungti automatinį skydelio paslėpimą,Veksle autoskjuling av panel,Wissel automatisch gereedschapsbalk verbergen,Przełącz automatyczne ukrywanie panelu,Auto-ocultar painel (lig/deslig),Ligar/Desligar o Auto-Ocultar do Painel,Переключить автоскрытие панели,,Preklopi samodejno skirvanje panoja,, Växla auto-dold panel,,,切换自动隐藏面板
Toggle monitors,,,Превключване на мониторите,,Přepnout monitory,, Bildschirme umschalten,Εναλλαγή οθονών,Alternar monitores,Ver/ocultar monitores,,Vaihda näyttöjä,Basculer les moniteurs,,,,,,,Interruttore schermi,モニタの切り替え,Perjungti monitorius,Veksle skjermer,Wissel beeldschermen,Przełącz monitory,Auto-ocultar monitores (lig/deslig),Ligar/Desligar os Monitores,Переключить мониторы,,Preklop zaslonov,, Växla skärmar,,,切换显示器
Disable default dock,,,Деактивиране на док по подразбиране,,Zakázat výchozí dok,, Standard-Dock deaktivieren,Απενεργοποίηση προκαθορισμένου dock,Deshabilitar dock predeterminado,Desactivar la barra de iconos por defecto,,Poista oletustelakka käytöstä,Désactiver le dock par défaut,,,,,,,Disabilita dock di default,既定ドックの無効化,Išjungti numatytąjį doką,Slå av forvalgt samlevindu,Standaard dock uitschakelen,Wyłącz domyślny dok,Desactivar a doca predefinida,Desativar a Doca Padrão,Отключить док по умолчанию,,Onemogoči privzeto sidrišče,Çaktivizo panelin parazgjedhje, Avaktivera standard-docka,,,禁用默认底座
Leave,,,Оставете,,Ponechat,, Verlassen,Αποχώρηση,Abandonar,Salir,,Jätä,Quitter,,,,,,,Abbandona,終了,Palikti,Forlat,Verlaten,Wyjdź,Sair,Sair,Оставить,,Zapusti,Braktise, Avsluta,,,离开
Refresh,,,,Refresca,,,Aktualisieren,Ανανέωση ,Refrescar,Refrescar,,Virkistä,Rafraîchir,Recargar,,रिफ्रेश,Osvježi,,,Aggiorna,リフレッシュ,Įkelti iš naujo,Oppdater,Verversen,Odśwież,Refrescar,Recarregar,Обновить,,Osveži,Rifreskoje,Förnya,Yenile,,
Suspend,ማገጃ,تعليق,Приспиване,Suspèn,Suspendovat,Suspendér,Bereitschaft,Αναστολή,Suspender,Suspender,معلق کردن,Keskeytä,Mettre en Veille,Suspender,השהיה,स्थगित करें,Uspání,,Setja í bið,Sospendi,サスペンド,Pristabdyti,Hvilemodus,Opschorten,Wstrzymaj,Suspender,Suspender,Ждущий режим,Uspať,Začasno ustavi,Pezulloje,Vänteläge,Askıya al,Призупинити,挂起
Logout,መውጫ,,,Sortida ,Odhlášení,Log ud,Logout,Αποσύνδεση,Salida,Cerrar sesión,,Kirjaudu ulos,A la déconnexion,Saír,יציאה,लॉगआउट,,,,Esci,ログアウト,Atsijungimas,Utlogging,Afmelden,Wylogowanie,Terminar,Sair,Выход,Zvuk pri odhlásení,Odjava,Dalje,Logga ut,Oturumu kapat,,注销
Reboot,ዳግም ማስጀመሪያ,إعادة تشغيل,Рестартиране,Reinicia,Restartovat,Genstart,Neustart,Επανεκκίνηση,Reiniciar,Reiniciar,اندازی مجدد,Käynnistä uudelleen,Redémarrer,Reiniciar,אתחול,पुनः आरंभ करें,Restartování,,Endurræsa,Riavvia,再起動,Paleisti iš naujo,Omstart,Herstarten,Uruchom ponownie,Reiniciar,Reiniciar,Перезагрузка,Reštartovať,Ponovni zagon,Rinise,Starta om,Yeniden Başlat,Перезавантажити,重启
Shutdown,ማጥፊያ,خروج,Изключване,Atura,Vypnout,Luk ned,Herunterfahren,Τερματισμός,Apagar,Apagar,,Sammuta,Arrêter,Apagar,כיבוי,बंद करें,Vypnutí,,Slökkva,Arresta,シャットダウン,Išjungti,Avslutter,Afsluiten,Wyłącz,Desligar,Desligar,Выключение,Vypnúť,Izklop,Fike,Stäng av,Bilgisayarı Kapat,Вимкнути,关机
