en,de,es,fr,gr,in,it,nl,pl,pt,ru
Startup,Neugründung,Inicio,Startup,Startup,Memulai ,Avvio,Autostart,Startup,Arranque,Запуск
Styles,Stile,Estilos,Styles,Στυλ,Gaya,Stili,Style,Style,Estilos,Стили
Keyboard,Tastatur,Teclado,Clavier,Πληκτρολόγιο,Papan Ketik,Tastiera,Klawiatura,Keyboard,Teclado,Клавиатура
Traditional look,Traditionelles Aussehen,Aspecto tradicional,Aspect traditionnel,Παραδοσιακή εμφάνιση,Tampilan Tradisional,Look tradizionale,Domyślny wygląd,Tradycyjny wygląd,Aspecto tradicional,Традиционный вид
"Window, slit, toolbar","Fenster, Schlitz, Symbolleiste","Ventana, rendija, barra de herramientas","Fenêtre, fente, barre d'outils","Παράθυρο, σχισμή, γραμμή εργαλείων","Jendela, Celah, Bilah Alat","Finestra, fessura, barra degli strumenti","Okno, slit, pasek narzędzi","Okno, szczelina, pasek narzędzi","Janela, fenda, barra de ferramentas","Окно, щель, панель инструментов"
Out of sight,Außer Sichtweite,Fuera de la vista,A l'abri des regards,Κρυμμένα,Diluar Pandangan,Lontano dagli occhi,Ukryj,Poza zasięgiem wzroku,Fora de vista,С глаз долой
Kill dock            ,Killdock            ,Muelle de la muerte            ,Quai d'extinction            ,Τερματισμός dock,Matikan Dock,Kill dock            ,Zabij dock,Kill dock            ,Cais da matança            ,док-убийца            
Kill a window        ,Ein Fenster töten        ,Matar una ventana        ,Tuer une fenêtre        ,Τερματισμός παραθύρου,Matikan Jendela,Uccidere una finestra        ,Zabij okno,Zabić okno        ,Matar uma janela        ,Убить окно        
Toggle conky         ,Umschalten conky         ,Cambiar conky...         ,Toggle conky         ,Εναλλαγή conky         ,Tombol Conky,Attivare e disattivare il conky         ,Przełącznik Conky,Kostka do przełączania         ,Alternar conky         ,Тугл-конки         
Toggle iDesk         ,iDesk umschalten         ,Cambiar el iDesk         ,Basculer l'iDesk         ,Εναλλαγή iDesk         ,Tombol iDesk,Attivare e disattivare l'iDesk         ,Przełącznik iDesk,Przełączanie iDesk         ,Toggle iDesk         ,Toggle iDesk         
Toggle icons         ,Symbole umschalten         ,Iconos de conmutación         ,Icônes de basculement         ,Εναλλαγή εικονιδίων       ,Tombol ikon,Icone a levetta         ,Przełącznik ikon pulpitu,Ikony do przełączania         ,Alternar ícones         ,переключающиеся иконки         
Toggle autohide dock ,Autohide-Dock umschalten ,Cambiar el muelle de auto-ocultación ,Basculer le quai autohide ,Εναλλαγή autohide dock ,Tombol sembunyikan otomatis dock,Attivare il dock autohide ,Przełącznik autoukrywania docku,Przełączyć autohide dok ,Alternar a doca de autoculto ,Тоггл-автохидный док 
Toggle autohide toolbar,Umschalten der Autohide-Werkzeugleiste,Cambiar la barra de herramientas de auto-ocultación,Barre d'outils de masquage automatique,Εναλλαγή autohide toolbar,Tombol sembunyikan otomatis bilah alat,Attivare e disattivare la barra degli strumenti autohide,Przełącznik autoukrywania paska narzędzi,"Przełączany, automatyczny pasek narzędzi",Alternar a barra de ferramentas de autoculto,Переключить автоматическую панель инструментов
Toggle monitors      ,Monitore umschalten      ,Cambiar los monitores...      ,Basculer les moniteurs      ,Εναλλαγή monitors      ,Tombol monitor,Monitor a levetta      ,Przełącznik monitorów,Monitory przełączające      ,Monitores Toggle      ,Тумблерные мониторы      
Disable default dock ,Standard-Dock deaktivieren ,Deshabilitar el acoplamiento por defecto ,Désactiver le dock par défaut ,Απενεργοποίηση προεπιλεγμένο dock ,Matikan setelan bawaan dock,Disattivare il dock di default ,Wyłącz domyślny dock,Wyłączenie domyślnego doku ,Desactivar a doca por defeito ,Отключить стандартную док-станцию 
Leave,Verlassen Sie,Deje,Quitter,Εξοδος,Meninggalkan,Lascia,Wyjdź,Wyjdź,Sair,Оставить
Refresh,Aktualisieren Sie,Actualizar,Rafraîchir,Ανανέωση,Segarkan,Aggiorna,Odśwież,Odświeżyć,Actualização,Обновить
Suspend,aussetzen,Suspender,Suspendre,Αναστολή,Suspend,Sospendi,Wstrzymaj,Zawiesić,Suspendam,Приостановить
Logout,Abmeldung,Cierre de sesión,Déconnexion,Αποσύνδεση,Keluar,Logout,Wyloguj,Logout,Sair,Выход из системы
Reboot,Neustart,Reiniciar,Redémarrer,Επανεκκινήση,Mulai ulang,Riavvio,Uruchom ponownie,Reboot,Reinicialização,Перезагрузить
Shutdown,Herunterfahren,Apagado,Fermeture,Τερματισμός,Matikan,Spegnimento,Zamknij,Zamknięcie,Encerramento,Отключение
