 ,ar,ca,cs,de,el,es_ES,fr,it,ja,pl,pt,pt_BR,ru,sv,tr,zh
Titlebar,شريط العنوان,Titlebar,Titulní lišta,Titelleiste,Γραμμή τίτλου,Barra de título,Barre de titre,Barra del titolo,タイトルバー,Pasek tytułu,Predefinição,Barra de título,Панель заголовка,Titelrad,Başlık çubuğu,标题栏
Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd,Dockmaker,Xkcd,Xkcd,Xkcd,Xkcd,Xkcd
Help,المساعدة,Ajuda ,Nápověda,Hilfe,Βοήθεια,Ayuda,Aide,Aiuto,ヘルプ,Pomoc,Font,Ajuda,Справка,Hjälp,Yardım,帮助
Music,الموسيقى,Música,Hudba,Musik,Μουσική,Música,Musique,Musica,ミュージック,Muzyka,Ícones,Músicas,Музыка,Musik,Müzik,音乐
Run,تشغيل,Executa,Spustit,Ausführen ,Εκτέλεση ,Ejecutar,Démarrer,Esegui...,実行,Uruchom,Monitores,Executar,Запуск,Kör,Çalıştır,运行
Settings manager,مدير الإعدادات,Settings manager,Správce nastavení,Einstellungsmanager,Διαχειριστής ρυθμίσεων,Administrador de configuración,Gestionnaire des paramètres,Gestore delle impostazioni,設定マネージャ,Menedżer ustawień,Definições,Gerenciador de Configurações,Диспетчер настроек,Inställningshanterare,Ayarlar yöneticisi,设置管理器
Terminal,المحطة,Terminal ,Terminál,Terminal ,Τερματικό ,Terminal,Terminal ,Terminale,ターミナル,Terminal,Terminal,Terminal,Терминал,Terminal,Terminal,终端
Appearance,المظهر,Aspecte ,Vzhled,Erscheinungsbild,Εμφάνιση,Apariencia,Apparence,Aspetto,外観,Wygląd,Aparência,Aparência,Внешний вид,Utseende,Görünüm,外观
Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky
Docks,المراسي,Docks,Dokovací panely,Docks,Docks,Docks,Docks,Barre Dock,ドック,Doki pulpitu,Docks,Docas,Доки,Dockor,Yuvaya ekle,Docks
Default,الافتراضي,Per defecte,Výchozí,Standard,Εξ ορισμού,Predeterminado,Thème par défaut,Predefinito,既定,Ustawienia domyślne,Padrão,Padrão,По умолчанию,Default,Varsayılan,默认
Dockmaker,Dockmaker,Dockmaker,Dockmaker,Dock-Ersteller,Δημιουργός εργαλείων Dock,Dockmaker,Dockmaker,Crea dock,ドックメーカー,Twórz i edytuj dok,Dockmaker,Criador de Docas,Dockmaker, Dockmaker,Yuva oluşturucu,Dockmaker
Font,الخط,Font,Písmo,Font,Font,Font,Font,Font,Font,Font,Fonte,Font,Шрифт,Font,Yazı tipi,字体
Desktop icons,أيقونات سطح المكتب,Icones de l'esriptori,Ikony na ploše,Desktop-Symbole,Εικονίδια επιφάνειας εργασίας,Iconos de escritorio,Icônes du bureau,Icone della scrivania,デスクトップのアイコン,Ikony pulpitu,Ícones da área de trabalho,Ícones da Área de Trabalho,Значки рабочего стола,Skrivbords-ikoner,Masaüstü simgeleri,桌面图标
Monitors,الشاشات,Monitors,Monitory,Monitore,Οθόνες,Monitores,Moniteurs,Schermi,モニタ,Monitory,Monitores,Monitores,Мониторы,Skärmar,Monitörler,显示器
Theme,السمة,Tema ,Téma,Thema,Θέμα,Tema,Thème,Tema,テーマ,Motyw,Tema,Tema,Тема,Tema,Tema,主题
Toolbars,أشرطة الأدوات,Barras d'eines,Nástrojové lišty,Toolbars,Γραμμή εργαλείων,Barras de herramientas,Barres d'outils,Barras degli strumenti,ツールバー,Pasek narzędzi,Barras,Barras de Ferramentas,Панели инструментов,Verktygsfält,Araç çubukları,工具栏
Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox, トラディショナル,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox
tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2,tint2
Wallpaper,خلفية,Empaperat ,Tapeta,Hintergrund ,Ταπετσαρία ,Fondo de pantalla,Fond d'écran ,Wallpaper,壁紙,Tapeta,Fundo,Papel de Parede,Обои,Wallpaper,Duvar kağıdı,墙纸
Rotate,تدوير,Rotate,Otočit,Drehen,Περιστροφή,Rotar,Rotation,Ruota,回転,Obróć,Rodar,Girar,Поворот, Rotera,Döndür,旋转
Separate,فصل,Separate,Oddělit,Trennen,Διαχώρισε,Separar,Séparer, Separa,分割,Rozdziel,Separar,Separar,Разделить, Separat,Ayır,分离
Select,تحديد,Selecciona,Vybrat,Auswählen,Επιλέξτε,Seleccionar,Sélectionner,Seleziona,選択,Wybierz,Seleccionar,Selecionar,Выбрать,Välj,Seç,选择
Settings,إعدادات,Paràmetres,Nastavení,Einstellungen,Ρυθμίσεις,Configuración,Paramètres,Impostazioni,設定,Ustawienia,Definições,Configurações,Настройки,Inställningar,Ayarlar,设置
Backup,نسخ احتياطي,Còpia de seguretat ,Zálohovat,Backup ,Backup,Copia de seguridad,Backup ,Backup,バックアップ,Kopia zapasowa,Cópia Seg,LuckyBackup,Резервное копирование,Backup,Yedekle,备份
Configure,تكوين,Configura,Konfigurovat,Konfigurieren,Ρύθμιση ,Configurar,Configurer,Configura,設定,Skonfiguruj,Configurar,Configurar,Настройка,Konfigurera,Yapılandır,配置
Apps,تطبيقات,Apps,Aplikace,Apps,Εφαρμογές,Aplicaciones,Applications,Applicazioni,アプリ,Okna aplikacji,Aplicações [apps],Aplicativos,Приложения,Appar,Uygulamalar,应用
Init,بدء,Init,Init,Init,Αρχικοποίηση,Init,Init,Init,,Init,Sessão [init],Iniciar,Инициализация,Init,Başlat,初始化
Keys,مفاتيح,Keys,Klávesy,Tasten,Κλειδιά,Atajos de teclado,Touches,Tasti,キー,Klawisze skrótów,Atalhos [keys],Atalhos,Клавиши,Nycklar,Tuşlar,键盘
Menus,قوائم,Menus,Nabídky,Menüs,Μενού,Menús,Menus,Menu,メニュー,Menu,Menus,Menus,Меню,Menyer,Menüler,菜单
Main,رئيسي,Principal ,Hlavní,Haupt,Κύριa,Principal,Principal,Principale,メイン,Główne,Principais,Principais,Главное,Main,Ana,主
Appearance,مظهر,Aspecte ,Vzhled,Erscheinungsbild,Εμφάνιση,Apariencia,Apparence,Aspetto,外観,Wygląd,Aparência,Aparência,Внешний вид,Utseende,Görünüm,外观
Settings,إعدادات,Paràmetres,Nastavení,Einstellungen,Ρυθμίσεις,Configuración,Paramètres,Impostazioni,設定,Ustawienia,Definições,Configurações,Настройки,Inställningar,Ayarlar,设置
Out of sight,خارج نطاق الرؤية,Out of sight,Mimo dohled,Verstecken,Εκτός οπτικού πεδίου,Cambiar la vista,Masquer,Fuori dal campo visivo,視界の外,Poza polem widzenia,Ocultar,Ocultar,Скрыть, Dold,Görünmez,隐藏
Overlay,تراكب,Overlay,Překrytí,Überlagerung,Επικάλυμμα,Superposición,Overlay,Sovrapposizione,重ねて表示,Nakładka,Cobertura [overlay],Sobreposição,Наложение, Overlay,Üst katman,叠加
Startup,بدء,Engegada,Spuštění,Systemstart,Εκκίνηση,Iniciar,Démarrage,Avvio,起動,Autostart,Arranque [startup],Inicializar,Запуск,Startup,Başlat,启动
Styles,أنماط,Estils,Styly,Styles,Styles,Estilos,Apparences,Stili,スタイル,Style,Estilos [styles],Estilos,Стили,Stilar,Stiller,样式
Window,نافذة,Finestra,Okno,Fenster,Παράθυρο,Ventana,Fenêtre,Finestra,画面,Okno,Janela,Janela,Окно,Fönster,Pencere,窗口
Display,عرض,Pantalla,Zobrazení,Bildschirm,Οθόνη,Pantalla,Affichage,Schermo,ディスプレイ,Ekran,Ecrã,Tela,Отображение,Skärm,Görüntü,显示
Change,تغيير,Change,Změnit,Ändern,Αλλαγή,Cambiar,Changer,Cambia,変更,Zmień,Alterar,Alterar,Изменить,Ändring,Değiştir,更改
Help,مساعدة,Ajuda ,Nápověda,Hilfe,Βοήθεια,Ayuda,Aide,Aiuto,ヘルプ,Pomoc,Ajuda,Ajuda,Справка,Hjälp,Yardım,帮助
Keyboard,لوحة المفاتيح,Teclat,Klávesnice,Tastatur,Πληκτρολόγιο,Teclado,Clavier,Tastiera,キーボード,Klawiatura,Teclado,Teclado,Клавиатура,Tangentbord,Klavye,键盘
Select,تحديد,Selecciona,Vybrat,Auswählen,Επιλέξτε,Seleccionar,Sélectionner,Seleziona,選択,Wybierz,Seleccionar,Selecionar,Выбрать,Välj,Seç,选择
Kill dock,إيقاف تشغيل الرصيف,Kill dock,Zavřít dok,Dock abschießen,Καταστροφή Dock,Matar la barra de iconos,Arrêter le dock,Termina dock,ドックの停止,Usuń dok,Aniquilar doca,Aniquilar a Doca,Убить док, Stäng docka,Dock'u kapat,关闭码头
Kill a window,إيقاف تشغيل نافذة,Kill a window,Zavřít okno,Fenster abschießen,Καταστροφή ενός παραθύρου,Matar una ventana,Arrêter une fenêtre,Termina una finestra,ウィンドウの終了,Zakończ proces dla wybranego okna,Aniquilar janela,Aniquilar a Janela,Убить окно, Stänga ett fönster,Pencereyi kapat,关闭窗口
Toggle conky,تبديل conky,Toggle conky,Přepnout conky,Conky an/aus,Εναλλαγή conky,Ver/ocultar conky,Basculer conky,Interruttore conky,コンキーの切り換え,Pokaż/ukryj conky,Conky (lig/deslig),Ligar/Desligar o Conky,Включить/выключить conky, Växla conky,Conky'yi aç/kapat,切换 Conky
Toggle iDesk,تبديل iDesk,Toggle iDesk,Přepnout iDesk,iDesk an/aus,Εναλλαγή iDesk,Ver/ocultar iDesk,Basculer l'iDesk,Interruttore iDesk,iDesk の切り換え,Pokaż/ukryj iDesk,iDesk (lig/deslig),Ligar/Desligar o iDesk,Включить/выключить iDesk, Växla iDesk,iDesk'i aç/kapat,切换 iDesk
Toggle icons,تبديل الرموز,Toggle icons,Přepnout ikony,Symbole an/aus,Εναλλαγή εικονιδίων,Ver/ocultar iconos,Basculer les icônes,Interruttore icone,アイコンの切り換え,Pokaż/ukryj ikony,Ícones (lig/deslig),Ligar/Desligar os Ícones,Включить/выключить значки, Växla ikoner,Simgeleri aç/kapat,切换图标
Toggle autohide dock,تبديل إخفاء الرصيف تلقائيًا,Toggle autohide dock,Přepnout automatické skrytí doku,Automatisches Ausblenden des Docks an/aus,Εναλλαγή αυτόματης απόκρυψης dock,Activar la ocultación automática de la barra de iconos,Basculer masquage auto. dock,Interruttore nascondi automaticamente il dock,ドックを自動的に隠す機能の切り換え,Przełącz automatyczne ukrywanie doku,Auto-ocultar doca (lig/deslig),Ligar/Desligar o Auto-Ocultar da Doca,Включить/выключить автоматическое скрытие дока, Växla auto-dold docka,Dock'u otomatik gizle'yi aç/kapat,切换自动隐藏码头
Toggle autohide toolbar,تبديل إخفاء شريط الأدوات تلقائيًا,Toggle autohide toolbar,Přepnout automatické skrytí panelu nástrojů,Automatisches Ausblenden der Werkzeugleiste an/aus,Εναλλαγή αυτόματης απόκρυψης toolbar,Activar la ocultación automática de la barra de herramientas,Basculer masquage auto. barre d'outils,Interruttore nascondi automaticamente la barra degli strumenti,ツールバーを自動的に隠す機能の切り換え,Przełącz automatyczne ukrywanie paska narzędz,Auto-ocultar barra (lig/deslig),Ligar/Desligar o Auto-Ocultar da Barra de Ferramentas,Включить/выключить автоматическое скрытие панели инструментов,Växla auto-dolt verktygsfält,Araç çubuğunu otomatik gizle'yi aç/kapat,切换自动隐藏工具栏
Toggle autohide panel,تبديل إخفاء اللوحة تلقائيًا,Toggle autohide panel,Přepnout automatické skrytí panelu,Automatisches Ausblenden des Panel an/aus,Εναλλαγή αυτόματης απόκρυψης panel,Activar la ocultación automática del panel,Basculer masquage auto. du panneau,Interruttore nascondi automaticamente pannello,パネルを自動的に隠す機能の切り換え,Przełącz automatyczne ukrywanie panelu,Auto-ocultar painel (lig/deslig),Ligar/Desligar o Auto-Ocultar do Painel,Включить/выключить автоматическое скрытие панели, Växla auto-dold panel,Paneli otomatik gizle'yi aç/kapat,切换自动隐藏面板
Toggle monitors,تبديل الشاشات,Toggle monitors,Přepnout monitory, Bildschirme umschalten,Εναλλαγή οθονών,Ver/ocultar monitores,Basculer les moniteurs,Interruttore schermi,モニタの切り替え,Przełącz monitory,Auto-ocultar monitores (lig/deslig),Ligar/Desligar os Monitores,Включить/выключить мониторы, Växla skärmar,Monitörleri aç/kapat,切换显示器
Disable default dock,تعطيل الرصيف الافتراضي,Disable default dock,Zakázat výchozí dok, Standard-Dock deaktivieren,Απενεργοποίηση προκαθορισμένου dock,Desactivar la barra de iconos por defecto,Désactiver le dock par défaut,Disabilita dock di default,既定ドックの無効化,Wyłącz domyślny dok,Desactivar a doca predefinida,Desativar a Doca Padrão,Отключить док по умолчанию, Avaktivera standard-docka,Varsayılan dock'u devre dışı bırak'ı seçin.,禁用默认码头
Leave,مغادرة,Leave,Odejděte, Verlassen,Αποχώρηση,Salir,Quitter,Abbandona,終了,Wyjdź,Sair,Sair,Выйти, Avsluta,Çık,离开
Refresh,تحديث,Refresca,Obnovit,Aktualisieren,Ανανέωση ,Refrescar,Rafraîchir,Aggiorna,リフレッシュ,Odśwież,Refrescar,Recarregar,Обновить,Förnya,Yenile,刷新
Suspend,تعليق,Suspèn,Pozastavit,Bereitschaft,Αναστολή,Suspender,Mettre en Veille,Sospendi,サスペンド,Wstrzymaj,Suspender,Suspender,Приостановить,Vänteläge,Askıya al,暂停
Logout,تسجيل,Sortida ,Odhlásit,Logout,Αποσύνδεση,Cerrar sesión,A la déconnexion,Esci,ログアウト,Wylogowanie,Terminar,Sair,Выйти,Logga ut,Oturumu kapat,注销
Reboot,إعادة,Reinicia,Restart,Neustart,Επανεκκίνηση,Reiniciar,Redémarrer,Riavvia,再起動,Uruchom ponownie,Reiniciar,Reiniciar,Перезагрузить,Starta om,Yeniden başlat,重启
Shutdown,خروج,Atura,Vypnout,Herunterfahren,Τερματισμός,Apagar,Arrêter,Arresta,シャットダウン,Wyłącz,Desligar,Desligar,Выключение,Stäng av,Kapat,关机
All Apps,جميع التطبيقات,All Apps,Všechny aplikace,Alle Apps,Όλες οι εφαρμογές,Todas las aplicaciones,Toutes les applications,Tutte le app,すべてのアプリ,Wszystkie aplikacje,Todas as aplicações,Todas as aplicações,Все приложения,Alla Appar,Tüm Uygulamalar,所有应用
Search,بحث,Search,Hledat,Suche,Αναζήτηση,Buscar,Recherche,Cerca,検索,Wyszukiwanie,Pesquisar,Pesquisar,Поиск,Sök,Arama,搜索
Web browser,متصفح الويب,Web browser,Webový prohlížeč,Webbrowser,Πρόγραμμα περιήγησης,Navegador web,Navigateur Web,Browser web,ウェブブラウザ,Przeglądarka internetowa,Navegador,Navegador,Веб-браузер,Webbläsare,Web tarayıcı,网页浏览器
Multimedia,الوسائط المتعددة,Multimedia,Multimédia,Multimedia,Πολυμέσα,Multimedia,Multimédia,Multimedia,マルチメディア,Multimedia,Multimédia,Multimédia,Мультимедиа,Multimedia,Multimedya,多媒体
Music player,مشغل الموسيقى,Music player,Přehrávač hudby,Musikplayer,Μουσική,Reproductor de música,Lecteur de musique,Lettore musicale,音楽プレーヤー,Odtwarzacz muzyczny,Leitor de música,Leitor de música,Музыкальный плеер,Musikspelare,Müzik çalar,音乐播放器
Webcomic,الويب كوميك,Webcomic,Webový komiks,Webcomic,Webcomic,Webcómic,Bande dessinée en ligne,Webcomic,ウェブコミック,Komiks internetowy,Webcomic,Webcomic,Веб-комикс,Webbserie,Web çizgi roman,网络漫画
Other,أخرى,Other,Ostatní,Sonstiges,Άλλα,Otros,Autres,Altro,その他,Inne,Outros,Outros,Другое,Annan,Diğer,其他
Screen capture,التقاط الشاشة,Screen capture,Snímání obrazovky,Bildschirmaufnahme,Λήψη οθόνης,Captura de pantalla,Capture d'écran,Cattura schermo,スクリーンキャプチャ,Zrzut ekranu,Captura de ecrã,Captura de ecrã,Снимок экрана,Skärmbilder,Ekran görüntüsü,屏幕截图
MX Fluxbox tools,أدوات MX Fluxbox,MX Fluxbox tools,Nástroje MX Fluxbox,MX Fluxbox-Tools,MX Fluxbox εργαλεία,Herramientas MX Fluxbox,Outils MX Fluxbox,Strumenti MX Fluxbox,MX Fluxbox ツール,Narzędzia MX Fluxbox,Ferramentas MX Fluxbox,Ferramentas MX Fluxbox,MX Fluxbox tools,MX Fluxbox verktyg,MX Fluxbox araçları,MX Fluxbox 工具
Lock,قفل,Lock,Zámek,Sperren,Κλείδωμα,Bloquear,Verrou,Blocco,ロック,Blokada,Bloquear,Bloquear,Блокировка,Lås,Kilit,锁
Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2,Tint2
Config files,ملفات التكوين,Config files,Konfigurační soubory,Konfigurationsdateien,Αρχεία ρυθμίσεων,Archivos de configuración,Fichiers de configuration,File di configurazione,設定ファイル,Pliki konfiguracyjne,Ficheiros de configuração,Arquivos de configuração,Конфигурационные файлы,Konfigurationsfiler,Yapılandırma dosyaları,配置文件
Quick config,التكوين السريع,Quick config,Rychlá konfigurace,Schnellkonfiguration,Γρήγορη ρύθμιση,Configuración rápida,Configuration rapide,Configurazione rapida,クイック設定,Szybka konfiguracja,Configuração rápida,Configuração rápida,Быстрая настройка,Snabbkonfigurering,Hızlı yapılandırma,快速配置
Edit,تحرير,Edit,Upravit,Bearbeiten,Επεξεργασία,Editar,Modifier,Modifica,編集,Edytuj,Editar,Editar,Редактирование,Redigera,Düzenle,编辑
Categorize,تصنيف,Categorize,Kategorizovat,Kategorisieren,Κατηγοριοποίηση,Categorizar,Catégoriser,Categorizza,カテゴリ分け,Kategoryzuj,Categorizar,Categorizar,Категоризация,Kategorisera,Sınıflandır,分类
Tint2 panel,لوحة Tint2,Tint2 panel,Panel Tint2,Tint2-Panel,Πάνελ Tint2,Panel Tint2,Panneau Tint2,Pannello Tint2,Tint2 パネル,Panel Tint2,Painel Tint2,Painel Tint2,Панель Tint2,Tint2 panel,Tint2 paneli,Tint2 面板
Screensaver,شاشة,Screensaver,Spořič obrazovky,Bildschirmschoner,Screensaver,Salvapantallas,Écran,Salvaschermo,スクリーンセーバー,Wygaszacz,Proteção de ecrã,Proteção de ecrã,Заставка,Skärmsläckare,Ekran koruyucu,屏幕保护程序
~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu,~/.fluxbox/submenus/recent_files_menu
~/.fluxbox/submenus/appearance,/usr/share/mxflux/menu-translations/appearance_ar,/usr/share/mxflux/menu-translations/appearance_ca,/usr/share/mxflux/menu-translations/appearance_cs,/usr/share/mxflux/menu-translations/appearance_de,/usr/share/mxflux/menu-translations/appearance_el,/usr/share/mxflux/menu-translations/appearance_es_ES,/usr/share/mxflux/menu-translations/appearance_fr,/usr/share/mxflux/menu-translations/appearance_it,/usr/share/mxflux/menu-translations/appearance_ja,/usr/share/mxflux/menu-translations/appearance_pl,/usr/share/mxflux/menu-translations/appearance_pt,/usr/share/mxflux/menu-translations/appearance_pt_BR,/usr/share/mxflux/menu-translations/appearance_ru,/usr/share/mxflux/menu-translations/appearance_sv,/usr/share/mxflux/menu-translations/appearance_tr,/usr/share/mxflux/menu-translations/appearance_zh
~/.fluxbox/submenus/settings,/usr/share/mxflux/menu-translations/settings_ar,/usr/share/mxflux/menu-translations/settings_ca,/usr/share/mxflux/menu-translations/settings_cs,/usr/share/mxflux/menu-translations/settings_de,/usr/share/mxflux/menu-translations/settings_el,/usr/share/mxflux/menu-translations/settings_es_ES,/usr/share/mxflux/menu-translations/settings_fr,/usr/share/mxflux/menu-translations/settings_it,/usr/share/mxflux/menu-translations/settings_ja,/usr/share/mxflux/menu-translations/settings_pl,/usr/share/mxflux/menu-translations/settings_pt,/usr/share/mxflux/menu-translations/settings_pt_BR,/usr/share/mxflux/menu-translations/settings_ru,/usr/share/mxflux/menu-translations/settings_sv,/usr/share/mxflux/menu-translations/settings_tr,/usr/share/mxflux/menu-translations/settings_zh
~/.fluxbox/submenus/out-of-sight,/usr/share/mxflux/menu-translations/out-of-sight_ar,/usr/share/mxflux/menu-translations/out-of-sight_ca,/usr/share/mxflux/menu-translations/out-of-sight_cs,/usr/share/mxflux/menu-translations/out-of-sight_de,/usr/share/mxflux/menu-translations/out-of-sight_el,/usr/share/mxflux/menu-translations/out-of-sight_es_ES,/usr/share/mxflux/menu-translations/out-of-sight_fr,/usr/share/mxflux/menu-translations/out-of-sight_it,/usr/share/mxflux/menu-translations/out-of-sight_ja,/usr/share/mxflux/menu-translations/out-of-sight_pl,/usr/share/mxflux/menu-translations/out-of-sight_pt,/usr/share/mxflux/menu-translations/out-of-sight_pt_BR,/usr/share/mxflux/menu-translations/out-of-sight_ru,/usr/share/mxflux/menu-translations/out-of-sight_sv,/usr/share/mxflux/menu-translations/out-of-sight_tr,/usr/share/mxflux/menu-translations/out-of-sight_zh
